Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7sWRlDoTDX8geTR8zzr2vt,"Hollywood's Bleeding","Hollywood's Bleeding","Post Malone",2019-09-06,156266,75,false,21opbfqensrqobjzl3lumijsy,2022-03-23T19:45:45Z,"","Republic Records",0.405,0.646,4,-3.206,0,0.0476,0.331,0,0.103,0.17,130.218,4
spotify:track:2C6WXnmZ66tHhHlnvwePiK,"Die For Me (feat. Future & Halsey)","Hollywood's Bleeding","Post Malone;Halsey;Future",2019-09-06,245266,71,true,21opbfqensrqobjzl3lumijsy,2022-03-23T19:45:49Z,"rap,trap","Republic Records",0.606,0.66,0,-2.847,1,0.0468,0.19,0,0.211,0.446,145.108,4
spotify:track:12Fkyg9lpmaz2zmKOfw2Y2,"On The Road (feat. Meek Mill & Lil Baby)","Hollywood's Bleeding","Post Malone;Meek Mill;Lil Baby",2019-09-06,218320,70,true,21opbfqensrqobjzl3lumijsy,2022-03-23T19:45:51Z,"rap","Republic Records",0.441,0.737,7,-5.053,1,0.11,0.059,0,0.102,0.22,112.93,5
spotify:track:09IOPhEh1OMe0HD9b36FJk,"Over Now","beerbongs & bentleys","Post Malone",2018-04-27,246986,70,true,21opbfqensrqobjzl3lumijsy,2022-03-23T19:45:53Z,"","Republic Records",0.569,0.777,4,-4.041,0,0.0834,0.137,0,0.132,0.181,164.029,4
spotify:track:0MrRAUcB8AZiB9ue2VOBYe,"Sugar Wraith","beerbongs & bentleys","Post Malone",2018-04-27,228146,64,true,21opbfqensrqobjzl3lumijsy,2022-03-23T19:45:54Z,"","Republic Records",0.607,0.775,5,-4.269,0,0.067,0.262,0,0.1,0.307,164.026,4
spotify:track:5VuxWXbt7XENQCtE9TzpTv,"Spoil My Night (feat. Swae Lee)","beerbongs & bentleys","Post Malone;Swae Lee",2018-04-27,194560,64,true,21opbfqensrqobjzl3lumijsy,2022-03-23T19:45:55Z,"","Republic Records",0.671,0.716,1,-2.714,1,0.034,0.341,0.0000223,0.106,0.238,160.986,4
spotify:track:2VdT56BGpdqNHUgOe1j5vc,"Rich & Sad","beerbongs & bentleys","Post Malone",2018-04-27,206453,66,true,21opbfqensrqobjzl3lumijsy,2022-03-23T19:45:56Z,"","Republic Records",0.596,0.571,2,-4.997,1,0.0716,0.201,0,0.0969,0.282,152.132,4
spotify:track:0LpiKjWMfZTkPPHonlM8nB,"Yours Truly, Austin Post","Stoney (Deluxe)","Post Malone",2016-12-09,219146,59,true,21opbfqensrqobjzl3lumijsy,2022-03-23T19:45:57Z,"","Mercury Records/Republic Owned",0.649,0.618,6,-5.694,1,0.0667,0.48,0.00000253,0.166,0.42,125.976,4
spotify:track:1QWmKmqhv5zcsS3v45FNl0,"Cold","Stoney (Deluxe)","Post Malone",2016-12-09,268933,57,true,21opbfqensrqobjzl3lumijsy,2022-03-23T19:45:57Z,"","Mercury Records/Republic Owned",0.671,0.572,4,-7.312,0,0.0431,0.647,0.00000472,0.104,0.254,133.008,4
spotify:track:5DLTuH4A5VZB2HKpqHQR6t,"Patient","Stoney (Deluxe)","Post Malone",2016-12-09,194333,62,true,21opbfqensrqobjzl3lumijsy,2022-03-23T19:45:58Z,"","Mercury Records/Republic Owned",0.743,0.662,5,-6.108,0,0.179,0.565,0,0.128,0.552,89.975,4
spotify:track:4SYUUlkScpNR1QvPscXf8t,"Too Young","Stoney (Deluxe)","Post Malone",2016-12-09,237146,64,true,21opbfqensrqobjzl3lumijsy,2022-03-23T19:46:00Z,"","Mercury Records/Republic Owned",0.639,0.634,11,-6.526,0,0.0458,0.268,0.0000322,0.0829,0.224,123.035,4
spotify:track:6eT7xZZlB2mwyzJ2sUKG6w,"White Iverson","Stoney (Deluxe)","Post Malone",2016-12-09,256532,83,true,21opbfqensrqobjzl3lumijsy,2022-03-23T19:46:02Z,"","Mercury Records/Republic Owned",0.675,0.561,7,-7.678,1,0.0352,0.233,0,0.0793,0.309,130.098,4
